Наименование,Бренд,Категория,Код товара,Артикул,Цена РРЦ,Цена РИЦ,Цена для клиентов,Суммарный остаток,Остаток по складам
Вентилятор круглый канальный VIKING 200,BALLU MACHINE,Вентиляция и кондиционирование зданий/Общеобменные системы вентиляции/Вентиляторы для модульных систем,НС-1579710,VIKING 200,9050.0,12890.0,6240.0,более 500,"{'ррц Лакинск': '261', 'ррц Екатеринбург LV NEW': '30', 'фрц Киржач': '286'}"
"Комплект Ballu Machine BLC_C-60HN1_21Y полупромышленной сплит-системы, кассетного типа",BALLU MACHINE,Кондиционирование/Полупромышленные сплит-системы,НС-1407544,BLC_C-60HN1_21Y,185300.0,185300.0,111180.0,более 500,"{'ррц Лакинск': '131', 'ррц Костерево (Владимирская обл.)': '275', 'ррц Орехово-Зуево (Московская обл.)': '54', 'ррц Петушки (Владимирская обл.)': '48', 'ррц Екатеринбург LV NEW': '43', 'фрц Киржач': '303'}"
"Комплект Ballu Machine BLC_D-60HN1_21Y полупромышленной сплит-системы, канального типа",BALLU MACHINE,Кондиционирование/Полупромышленные сплит-системы,НС-1407538,BLC_D-60HN1_21Y,185100.0,185100.0,111060.0,132,"{'ррц Костерево (Владимирская обл.)': '29', 'ррц Екатеринбург LV NEW': '5', 'фрц Киржач': '98'}"
Воздуховод Ballu MACHINE звукоизолированный SONOBFA-H 160ммх10м,BALLU MACHINE,Вентиляция и кондиционирование зданий/Общеобменные системы вентиляции/Сетевые элементы,НС-1036330,SONOBFA-H 160ммх10м,5400.0,5400.0,2808.0,195,"{'ррц Екатеринбург LV NEW': '5', 'фрц Киржач': '190'}"
Воздуховод Ballu MACHINE неизолир. BFA 102ммх10м,BALLU MACHINE,Вентиляция и кондиционирование зданий/Общеобменные системы вентиляции/Сетевые элементы,НС-1036294,BFA 102ммх10м,620.0,620.0,322.4,250,"{'ррц Екатеринбург LV NEW': '20', 'фрц Киржач': '230'}"
Воздуховод Ballu MACHINE неизолир. BFA 127ммх10м,BALLU MACHINE,Вентиляция и кондиционирование зданий/Общеобменные системы вентиляции/Сетевые элементы,НС-1036296,BFA 127ммх10м,650.0,650.0,338.0,179,"{'ррц Екатеринбург LV NEW': '79', 'фрц Киржач': '100'}"
"Комплект Ballu Machine BLCI_D-24HN8/EU_23Y инверторной сплит-системы, канального типа",BALLU MACHINE,Кондиционирование/Полупромышленные сплит-системы,НС-1480583,BLCI_D-24HN8/EU_23Y,146200.0,146200.0,87720.0,10,"{'ррц Петушки (Владимирская обл.)': '7', 'фрц Киржач': '3'}"
Воздуховод Ballu MACHINE теплоизолир. ISOBFA 356ммх10м,BALLU MACHINE,Вентиляция и кондиционирование зданий/Общеобменные системы вентиляции/Сетевые элементы,НС-1036324,ISOBFA 356ммх10м,7690.0,,3998.8,под заказ,"{'ррц Екатеринбург LV NEW': 'под заказ', 'фрц Киржач': 'под заказ'}"
Воздуховод Ballu MACHINE неизолир. BFA 254ммх10м,BALLU MACHINE,Вентиляция и кондиционирование зданий/Общеобменные системы вентиляции/Сетевые элементы,НС-1036301,BFA 254ммх10м,1520.0,1520.0,790.4,65,"{'екатеринбург склад': '5', 'ррц Екатеринбург LV NEW': '34', 'фрц Киржач': '26'}"
"Комплект Ballu Machine BLCI_CF-36HN8/EU_23Y инверторной сплит-системы, напольно-потолочного типа",BALLU MACHINE,Кондиционирование/Полупромышленные сплит-системы,НС-1480660,BLCI_CF-36HN8/EU_23Y,212200.0,212200.0,127320.0,21,"{'ррц Петушки (Владимирская обл.)': '20', 'фрц Киржач': '1'}"
Воздуховод Ballu MACHINE теплоизолир. ISOBFA 254ммх10м,BALLU MACHINE,Вентиляция и кондиционирование зданий/Общеобменные системы вентиляции/Сетевые элементы,НС-1036320,ISOBFA 254ммх10м,5470.0,5470.0,2844.4,12,"{'ррц Екатеринбург LV NEW': '11', 'фрц Киржач': '1'}"
