Наименование,Бренд,Категория,Код товара,Артикул,Цена РРЦ,Цена РИЦ,Цена для клиентов,Суммарный остаток,Остаток по складам
"Электронагреватель для круглого канала EHC 160-6,0/2",SHUFT,Вентиляция и кондиционирование зданий/Общеобменные системы вентиляции/Нагреватели,НС-1166650,"EHC 160-6,0/2",16130.0,16130.0,8387.6,62,"{'ррц Екатеринбург LV NEW': '7', 'фрц Киржач': '55'}"
"Электронагреватель для круглого канала EHC 200-12,0/3",SHUFT,Вентиляция и кондиционирование зданий/Общеобменные системы вентиляции/Нагреватели,НС-1166654,"EHC 200-12,0/3",19670.0,19670.0,10228.4,ожидается поставка,{}
"Болт-скоба U-образный SHUFT оцинкованный 5"" М12 (упак.50шт)",SHUFT,"Расходные материалы, аксессуары и инструменты для ОВК/Расходные материалы для вентиляции/Крепежные изделия",НС-1425387,UBZ1421SH,5568.0,5568.0,5289.6,1,{'фрц Киржач': '1'}
Фанкойл канальный Shuft SFF-200G50,SHUFT,Вентиляция и кондиционирование зданий/Системы чиллер фанкойл/Фанкойлы,НС-1517751,SFF-200G50,38311.18,,14251.76,ожидается поставка,{}
Хомут для воздуховода SHUFT с резиновым профилем 560мм (шпилька),SHUFT,"Расходные материалы, аксессуары и инструменты для ОВК/Расходные материалы для вентиляции/Крепежные изделия",НС-1425478,NHV05601SH,165.0,165.0,151.8,95,{'фрц Киржач': '95'}
Вентилятор IEF 250D,SHUFT,Вентиляция и кондиционирование зданий/Общеобменные системы вентиляции/Вентиляторы для модульных систем,НС-1248632,IEF 250D,184493.84,180380.0,95936.8,24,{'фрц Киржач': '24'}
Вентилятор вытяжной осевой AXW 200-B-2E,SHUFT,Вентиляция и кондиционирование зданий/Общеобменные системы вентиляции/Вентиляторы для модульных систем,НС-1110025,AXW 200-B-2E,10969.9,10720.0,5704.35,68,{'фрц Киржач': '68'}
Вентилятор канальный центробежный SHUFT CFk 315 VIM,SHUFT,Вентиляция и кондиционирование зданий/Общеобменные системы вентиляции/Вентиляторы для модульных систем,НС-1077773,CFk 315 VIM,17270.0,17270.0,8980.4,326,"{'екатеринбург склад': '2', 'ррц Екатеринбург LV NEW': '14', 'фрц Киржач': '310'}"
FBRr-K 700x400 Фильтр-бокс (корпус),SHUFT,Вентиляция и кондиционирование зданий/Общеобменные системы вентиляции/Фильтры,НС-1033151,FBRr-K 700x400,9000.0,9000.0,4680.0,95,"{'ррц Екатеринбург LV NEW': '10', 'фрц Киржач': '85'}"
Вентилятор канальный центробежный SHUFT CFk 200 VIM,SHUFT,Вентиляция и кондиционирование зданий/Общеобменные системы вентиляции/Вентиляторы для модульных систем,НС-1077771,CFk 200 VIM,12650.0,12650.0,6578.0,223,"{'екатеринбург склад': '2', 'ррц Екатеринбург LV NEW': '16', 'фрц Киржач': '205'}"
Нагреватель электрический для прямоугольных каналов EHR 600*350-15,SHUFT,Вентиляция и кондиционирование зданий/Общеобменные системы вентиляции/Нагреватели,НС-1055045,EHR 600*350-15,34990.0,34990.0,18194.8,ожидается поставка,{}
Вентилятор прямоугольный канальный SHUFT IRFD 800х500-4 VIM,SHUFT,Вентиляция и кондиционирование зданий/Общеобменные системы вентиляции/Вентиляторы для модульных систем,НС-1057821,IRFD 800х500-4 VIM,233560.0,233560.0,121451.2,11,{'фрц Киржач': '11'}
Осушитель канальный Shuft SHA-D170,SHUFT,"Увлажнение, осушение и очистка воздуха/Осушители воздуха/Полупромышленные осушители воздуха",НС-1442258,SHA-D170,876765.35,821010.0,438382.67,4,{'фрц Киржач': '4'}
Фанкойл кассетный двухтрубный Shuft SFR-300 V2,SHUFT,Вентиляция и кондиционирование зданий/Системы чиллер фанкойл/Фанкойлы,НС-1517694,SFR-300 V2,78210.87,,29094.07,ожидается поставка,{}
Установка приточно-вытяжная Shuft Star PVS-350,SHUFT,Вентиляция и кондиционирование зданий/Моноблочные вентиляционные установки/Компактные моноблочные приточные-вытяжные установки,НС-1521734,PVS-350,113200.0,87200.0,79240.0,ожидается поставка,{}
"Регулятор скорости SHUFT SRE-AS-10,0",SHUFT,Автоматизация и диспетчеризация зданий/Элементы системы диспетчеризации и автоматизации/Контроллеры,НС-1063832,"SRE-AS-10,0",15058.69,,7906.31,под заказ,{}
Установка приточно-вытяжная SHUFT UniMAX-P 1500 VER-A,SHUFT,Вентиляция и кондиционирование зданий/Моноблочные вентиляционные установки/Компактные моноблочные приточные-вытяжные установки,НС-1061968,UniMAX-P 1500 VER-A,546640.0,546640.0,366248.8,6,{'фрц Киржач': '6'}
Вентилятор EC канальный CFz 200 MAX,SHUFT,Вентиляция и кондиционирование зданий/Общеобменные системы вентиляции/Вентиляторы для модульных систем,НС-1201781,CFz 200 MAX,54180.0,54180.0,28173.6,7,"{'ррц Екатеринбург LV NEW': '2', 'фрц Киржач': '5'}"
