Наименование,Бренд,Категория,Код товара,Артикул,Цена РРЦ,Цена РИЦ,Цена для клиентов,Суммарный остаток,Остаток по складам
"Блок внутренний Electrolux EACW/I-12 FMI/N8_ERP Free match сплит-системы, консольного типа",Electrolux,Кондиционирование/Мульти сплит-системы/Мульти сплит-системы свободной компоновки,НС-1381364,EACW/I-12 FMI/N8_ERP,52700.0,52700.0,35309.0,9,"{'ррц Петушки (Владимирская обл.)': '3', 'фрц Киржач': '6'}"
Водонагреватель Electrolux EWH 50 Royal Flash,Electrolux,Отопление и водоснабжение/Водонагреватели/Водонагреватели накопительные,НС-1064860,EWH 50 Royal Flash,21590.0,20490.0,18352.0,6,{'ррц Екатеринбург LV NEW': '6'}
Сплит-система инверторного типа Electrolux EACS/I-12HG-MILK2/N8 комплект,Electrolux,Кондиционирование/Бытовые кондиционеры/Сплит-системы настенного типа,НС-1108920,EACS/I-12HG-MILK2/N8,59990.0,59990.0,43792.7,ожидается поставка,{}
Фильтр для очистки воды Electrolux AquaModule Carbon 2in1 Softening,Electrolux,Отопление и водоснабжение/Водоочистка/Фильтры под мойку,НС-1279466,AquaModule Carbon 2in1 Softening,4490.0,4490.0,3592.0,ожидается поставка,{}
Кабель для обогрева трубопроводов Electrolux EFGPC 2-18-10 (комплект),Electrolux,Тепловое оборудование/Электрические теплые полы и системы антиобледенения/Системы обогрева трубопроводов,НС-1068077,EFGPC 2-18-10,6232.0,6232.0,3552.0,157,"{'ррц Екатеринбург LV NEW': '2', 'фрц Киржач': '155'}"
Комплект картриджей Electrolux iS TotalPureX-3 PF,Electrolux,Отопление и водоснабжение/Водоочистка/Картриджи для фильтров,НС-1300140,Kit iS TotalPureX-3 PF,2150.0,2150.0,1677.0,более 500,"{'ррц Лакинск': '712', 'ррц Екатеринбург LV NEW': '16', 'фрц Киржач': '54'}"
Кондиционер мобильный Electrolux EACM-16 HP/N3,Electrolux,Кондиционирование/Бытовые кондиционеры/Мобильные кондиционеры,НС-1123663,EACM-16 HP/N3,67000.0,67000.0,53600.0,2,{'ррц Екатеринбург LV NEW': '2'}
Сплит-система Electrolux Smartline EACS-12HSM/N3 комплект,Electrolux,Кондиционирование/Бытовые кондиционеры/Сплит-системы настенного типа,НС-1598823,EACS-12HSM/N3,43990.0,43990.0,31672.8,ожидается поставка,{}
Водонагреватель Electrolux EWH 100 Interio 3,Electrolux,Отопление и водоснабжение/Водонагреватели/Водонагреватели накопительные,НС-1161046,EWH 100 Interio 3,20690.0,20690.0,17587.0,55,"{'ррц Костерево (Владимирская обл.)': '54', 'ррц Екатеринбург LV NEW': '1'}"
Колонка газовая Electrolux GWH 10 NanoPlus 2.0,Electrolux,Отопление и водоснабжение/Водонагреватели/Водонагреватели проточные газовые,НС-1139040,GWH 10 NanoPlus 2.0,14290.0,14290.0,11861.0,41,"{'екатеринбург склад': '1', 'ррц Екатеринбург LV NEW': '40'}"
