Наименование,Бренд,Категория,Код товара,Артикул,Цена РРЦ,Цена РИЦ,Цена для клиентов,Суммарный остаток,Остаток по складам
Тепловентилятор Ballu BHP-MW-5,BALLU,Тепловое оборудование/Тепловые пушки и теплогенераторы/Электрические тепловые пушки,НС-1135824,BHP-MW-5,17990.0,17990.0,14392.0,84,"{'ррц Петушки (Владимирская обл.)': '48', 'ррц Екатеринбург LV NEW': '13', 'фрц Киржач': '23'}"
Блок внутренний Ballu BSUI-FM/in-12HN8/EU инверторной мульти сплит-системы,BALLU,Кондиционирование/Мульти сплит-системы/Мульти сплит-системы свободной компоновки,НС-1247893,BSUI-FM/in-12HN8/EU,18400.0,18400.0,12696.0,137,"{'ррц Петушки (Владимирская обл.)': '1', 'ррц Екатеринбург LV NEW': '2', 'фрц Киржач': '134'}"
"Рециркулятор-обеззараживатель медицинский Ballu RDU-60D ANTICOVIDgenerator, white",BALLU,"Увлажнение, осушение и очистка воздуха/Рециркуляторы, стерилизаторы, ионизаторы/Рециркуляторы",НС-1485684,RDU-60D white,10990.0,10990.0,8572.0,ожидается поставка,{}
Завеса тепловая Ballu BHC-H15W30-PS (пульт BRC-D2),BALLU,Тепловое оборудование/Воздушные и тепловые завесы/Промышленные,НС-1508041,BHC-H15W30-PS (BRC-D2),76990.0,76990.0,61592.0,ожидается поставка,{}
Осушитель воздуха колонный Ballu BDH-360L,BALLU,"Увлажнение, осушение и очистка воздуха/Осушители воздуха/Промышленные осушители воздуха",НС-1500909,BDH-360L,597000.0,597000.0,435810.0,ожидается поставка,{}
Водонагреватель проточный Ballu StreamTap,BALLU,Отопление и водоснабжение/Водонагреватели/Водонагреватели проточные электрические,НС-1588895,StreamTap,2290.0,2290.0,1901.0,более 500,"{'ррц Екатеринбург LV NEW': '492', 'фрц Киржач': 'более 500'}"
Сушилка для рук электрическая Ballu BAHD-1250,BALLU,Тепловое оборудование/Сушилки для рук/Сушилки для рук,НС-1352690,BAHD-1250,20990.0,20990.0,16792.0,ожидается поставка,{}
Блок внутренний Ballu BSUI-FM/in-09HN8/EU_BL инверторной мульти сплит-системы,BALLU,Кондиционирование/Мульти сплит-системы/Мульти сплит-системы свободной компоновки,НС-1340966,BSUI-FM/in-09HN8/EU_BL,17400.0,17400.0,12006.0,ожидается поставка,{}
Чехол тканевый Ballu для рециркулятора на магнитной основе MС-100/150-GB,BALLU,"Увлажнение, осушение и очистка воздуха/Рециркуляторы, стерилизаторы, ионизаторы/Чехлы для рециркуляторов",НС-1488492,MС-100/150-GB,2790.0,2790.0,2232.0,3,{'фрц Киржач': '3'}
Блок управления Transformer Electronic Ballu BCT/EVU-4E,BALLU,Тепловое оборудование/Бытовые электрические обогреватели/Блоки управления для электрических конвекторов,НС-1416234,BCT/EVU-4E,4490.0,4490.0,3592.0,более 500,"{'ррц Екатеринбург LV NEW': '336', 'фрц Киржач': 'более 500'}"
Пушка тепловая Ballu BHP-P2-22,BALLU,Тепловое оборудование/Тепловые пушки и теплогенераторы/Электрические тепловые пушки,НС-1135823,BHP-P2-22,32990.0,32990.0,26392.0,24,"{'ррц Екатеринбург LV NEW': '4', 'фрц Киржач': '20'}"
Кондиционер мобильный Ballu BPHS-11H,BALLU,Кондиционирование/Бытовые кондиционеры/Мобильные кондиционеры,НС-1185829,BPHS-11H,35990.0,35990.0,28792.0,33,{'ррц Екатеринбург LV NEW': '33'}
Вентилятор промышленный Ballu BIF-20DB,BALLU,Вентиляция и кондиционирование зданий/Общеобменные системы вентиляции/Промышленные вентиляторы,НС-1601103,BIF-20DB,34990.0,34990.0,29041.7,ожидается поставка,{}
Кронштейн Ballu BDS-B2,BALLU,Тепловое оборудование/Водяные тепловентиляторы и дестратификаторы/Аксессуары,НС-1475122,BDS-B2,1290.0,1290.0,1070.7,1,{'фрц Киржач': '1'}
"Бактерицидный рециркулятор Ballu RDU-100D ANTICOVIDgenerator, white",BALLU,"Увлажнение, осушение и очистка воздуха/Рециркуляторы, стерилизаторы, ионизаторы/Рециркуляторы",НС-1343665,"RDU-100D, white",12990.0,12990.0,10132.0,ожидается поставка,{}
Сплит-система Ballu BSW-24HN1_23Y комплект,BALLU,Кондиционирование/Бытовые кондиционеры/Сплит-системы настенного типа,НС-1480843,BSW-24HN1_23Y,77990.0,77990.0,54593.0,ожидается поставка,{}
Завеса тепловая Ballu BHC-M20T24-PS,BALLU,Тепловое оборудование/Воздушные и тепловые завесы/Промышленные,НС-1111931,BHC-M20T24-PS,62990.0,62990.0,50392.0,ожидается поставка,{}
Комплект Ballu Transformer с блоком управления BEC/EVU-2000-4I (инверторный),BALLU,Тепловое оборудование/Бытовые электрические обогреватели/Электрические конвекторы,НС-1584105,BEC/EVU-2000-4I,11780.0,11780.0,9424.0,более 500,"{'екатеринбург склад': '5', 'ррц Екатеринбург LV NEW': '15', 'фрц Киржач': 'более 500'}"
Чехол тканевый Ballu для рециркулятора на магнитной основе MС-30/60 WiFi-BG,BALLU,"Увлажнение, осушение и очистка воздуха/Рециркуляторы, стерилизаторы, ионизаторы/Чехлы для рециркуляторов",НС-1488497,MС-30/60 WiFi-BG,7390.0,7390.0,5912.0,ожидается поставка,{}
Увлажнитель ультразвуковой Ballu UHB-200,BALLU,"Увлажнение, осушение и очистка воздуха/Увлажнители воздуха/Бытовые увлажнители воздуха",НС-1043054,UHB-200,2190.0,2090.0,1840.0,ожидается поставка,{}
