Наименование,Бренд,Категория,Код товара,Артикул,Цена РРЦ,Цена РИЦ,Цена для клиентов,Суммарный остаток,Остаток по складам
Конвектор внутрипольный Royal Thermo ATRIUM-90/250/1400-DG-U-AU,Royal Thermo,Отопление и водоснабжение/Радиаторы и полотенцесушители/Конвекторы внутрипольные без вентилятора,НС-1493278,RT-A-90/250/1400-DG-U-AU,25921.0,25921.0,17626.28,ожидается поставка,{}
Конвектор внутрипольный Royal Thermo ATRIUM-150/250/2400-DG-U-DB,Royal Thermo,Отопление и водоснабжение/Радиаторы и полотенцесушители/Конвекторы внутрипольные без вентилятора,НС-1477439,RT-A-150/250/2400-DG-U-DB,53567.0,53567.0,36425.56,ожидается поставка,{}
Конвектор внутрипольный Royal Thermo ATRIUM-90/300/1300-DG-U-BL,Royal Thermo,Отопление и водоснабжение/Радиаторы и полотенцесушители/Конвекторы внутрипольные без вентилятора,НС-1558985,RT-A-90/300/1300-DG-U-BL,25820.0,25820.0,17557.6,ожидается поставка,{}
Радиатор панельный Royal Thermo COMPACT C21-300-800 RAL9016,Royal Thermo,Отопление и водоснабжение/Радиаторы и полотенцесушители/Радиаторы стальные панельные,НС-1189629,C21-300-800/9016,6182.0,6182.0,4698.32,ожидается поставка,{}
Радиатор панельный Royal Thermo HYGIENE H30-500-400 RAL9016,Royal Thermo,Отопление и водоснабжение/Радиаторы и полотенцесушители/Радиаторы стальные панельные,НС-1190624,H30-500-400/9016,6675.0,6675.0,5073.0,ожидается поставка,{}
Конвектор внутрипольный Royal Thermo ATRIUM-190/300/2200-DG-U-NA,Royal Thermo,Отопление и водоснабжение/Радиаторы и полотенцесушители/Конвекторы внутрипольные без вентилятора,НС-1477632,RT-A-190/300/2200-DG-U-NA,58332.0,58332.0,39665.76,ожидается поставка,{}
Радиатор панельный Royal Thermo COMPACT C33-500-1700 RAL9016,Royal Thermo,Отопление и водоснабжение/Радиаторы и полотенцесушители/Радиаторы стальные панельные,НС-1190043,C33-500-1700/9016,21351.0,21351.0,16226.76,ожидается поставка,{}
Радиатор Royal Thermo PianoForte 300 /Noir Sable - 12 секц. VDR,Royal Thermo,Отопление и водоснабжение/Радиаторы и полотенцесушители/Радиаторы биметаллические секционные,НС-1346058,RTPNSVDR30012,21670.0,21670.0,17119.3,1,{'екатеринбург склад': '1'}
Радиатор панельный Royal Thermo VENTIL COMPACT VC33-500-700 RAL9016 M,Royal Thermo,Отопление и водоснабжение/Радиаторы и полотенцесушители/Радиаторы стальные панельные,НС-1453204,VC33-500-700/9016 M,12732.0,12732.0,9676.32,ожидается поставка,{}
Конвектор напольный Royal Thermo STEP-180/180/500-3-N-WT-LG-NA,Royal Thermo,Отопление и водоснабжение/Радиаторы и полотенцесушители/Конвекторы напольные,НС-1608149,RT-S-180/180/500-3-N-WT-LG-NA,19311.0,19311.0,13131.48,ожидается поставка,{}
Конвектор внутрипольный Royal Thermo ATRIUM-90/200/2800-DG-U-DB,Royal Thermo,Отопление и водоснабжение/Радиаторы и полотенцесушители/Конвекторы внутрипольные без вентилятора,НС-1477873,RT-A-90/200/2800-DG-U-DB,44772.0,44772.0,30444.96,ожидается поставка,{}
Бойлер косвенного нагрева Royal Thermo AQUATEC INOX RTWX-F 100.1 настенный сухой ТЭН,Royal Thermo,Отопление и водоснабжение/Котельное оборудование/Бойлеры и буферные ёмкости,НС-1420125,RTWX-F 100.1,41500.0,41500.0,33200.0,45,{'фрц Киржач': '45'}
Конвектор внутрипольный Royal Thermo ATRIUM-110/250/2400-DG-U-AU,Royal Thermo,Отопление и водоснабжение/Радиаторы и полотенцесушители/Конвекторы внутрипольные без вентилятора,НС-1493075,RT-A-110/250/2400-DG-U-AU,42712.0,42712.0,29044.16,ожидается поставка,{}
Конвектор внутрипольный Royal Thermo ATRIUM-110/400/900-DG-U-NA,Royal Thermo,Отопление и водоснабжение/Радиаторы и полотенцесушители/Конвекторы внутрипольные без вентилятора,НС-1477374,RT-A-110/400/900-DG-U-NA,26753.0,26753.0,18192.04,ожидается поставка,{}
Конвектор внутрипольный Royal Thermo ATRIUM-150/400/1200-DG-U-NA,Royal Thermo,Отопление и водоснабжение/Радиаторы и полотенцесушители/Конвекторы внутрипольные без вентилятора,НС-1477500,RT-A-150/400/1200-DG-U-NA,42880.0,42880.0,29158.4,ожидается поставка,{}
Радиатор Royal Thermo BiLiner 350 /Silver Satin VR - 8 секц.,Royal Thermo,Отопление и водоснабжение/Радиаторы и полотенцесушители/Радиаторы биметаллические секционные,НС-1196740,RTBSSVR35008,12750.0,12750.0,10837.5,14,{'фрц Киржач': '14'}
Радиатор панельный Royal Thermo VENTIL COMPACT VC33-500-900 RAL9016,Royal Thermo,Отопление и водоснабжение/Радиаторы и полотенцесушители/Радиаторы стальные панельные,НС-1191385,VC33-500-900/9016,14696.0,14696.0,11168.96,ожидается поставка,{}
Конвектор напольный Royal Thermo STEP-130/130/1100-2-N-WT-LG-NA,Royal Thermo,Отопление и водоснабжение/Радиаторы и полотенцесушители/Конвекторы напольные,НС-1608049,RT-S-130/130/1100-2-N-WT-LG-NA,18311.0,18311.0,12451.48,ожидается поставка,{}
Пресс-втулка Royal Thermo для трубы из сшитого полиэтилена 32,Royal Thermo,"Отопление и водоснабжение/Трубы, шланги и фитинги/Шланги и фитинги",НС-1276443,RTE 32.132 К,210.0,210.0,105.0,более 500,"{'ррц Екатеринбург LV NEW': '24', 'фрц Киржач': 'более 500'}"
Конвектор напольный Royal Thermo STEP-80/130/2600-1-N-WT-LG-NA,Royal Thermo,Отопление и водоснабжение/Радиаторы и полотенцесушители/Конвекторы напольные,НС-1608170,RT-S-80/130/2600-1-N-WT-LG-NA,31849.0,31849.0,21657.32,ожидается поставка,{}
Радиатор панельный Royal Thermo COMPACT C21-400-800 Silver Satin,Royal Thermo,Отопление и водоснабжение/Радиаторы и полотенцесушители/Радиаторы стальные панельные,НС-1369493,C21-400-800/SS,6976.0,6976.0,5301.76,ожидается поставка,{}
Радиатор панельный Royal Thermo COMPACT C33-900-1500 RAL9016,Royal Thermo,Отопление и водоснабжение/Радиаторы и полотенцесушители/Радиаторы стальные панельные,НС-1190149,C33-900-1500/9016,59990.0,59990.0,45592.4,ожидается поставка,{}
Радиатор панельный Royal Thermo VENTIL HYGIENE VH10-400-800 RAL9016,Royal Thermo,Отопление и водоснабжение/Радиаторы и полотенцесушители/Радиаторы стальные панельные,НС-1345620,VH10-400-800/9016,6001.0,6001.0,4560.76,ожидается поставка,{}
Конвектор внутрипольный Royal Thermo ATRIUM-190/400/2700-DG-U-NA,Royal Thermo,Отопление и водоснабжение/Радиаторы и полотенцесушители/Конвекторы внутрипольные без вентилятора,НС-1522769,RT-A-190/400/2700-DG-U-NA,94962.0,94962.0,64574.16,ожидается поставка,{}
Радиатор панельный Royal Thermo COMPACT C22-400-900 Silver Satin,Royal Thermo,Отопление и водоснабжение/Радиаторы и полотенцесушители/Радиаторы стальные панельные,НС-1369602,C22-400-900/SS,7730.0,7730.0,5874.8,ожидается поставка,{}
Блок внутренний Royal Thermo MULTI COMBO ERP DC RTFMI/in-18HN8/white инвертор. мульти сплит-системы,Royal Thermo,Кондиционирование/Мульти сплит-системы/Мульти сплит-системы свободной компоновки,НС-1598203,RTFMI/in-18HN8/white,25200.0,25200.0,17388.0,4,"{'ррц Екатеринбург LV NEW': '1', 'фрц Киржач': '3'}"
Конвектор внутрипольный Royal Thermo ATRIUM-150/300/1800-DG-U-LB,Royal Thermo,Отопление и водоснабжение/Радиаторы и полотенцесушители/Конвекторы внутрипольные без вентилятора,НС-1477469,RT-A-150/300/1800-DG-U-LB,47336.0,47336.0,32188.48,ожидается поставка,{}
Конвектор внутрипольный Royal Thermo ATRIUM-190/400/2900-DG-U-DB,Royal Thermo,Отопление и водоснабжение/Радиаторы и полотенцесушители/Конвекторы внутрипольные без вентилятора,НС-1558740,RT-A-190/400/2900-DG-U-DB,101412.0,101412.0,68960.16,ожидается поставка,{}
Радиатор панельный Royal Thermo COMPACT C11-400-2200 RAL9016,Royal Thermo,Отопление и водоснабжение/Радиаторы и полотенцесушители/Радиаторы стальные панельные,НС-1345310,C11-400-2200/9016,10216.0,10216.0,7764.16,ожидается поставка,{}
Конвектор внутрипольный Royal Thermo ATRIUM-110/400/2100-DG-U-NA,Royal Thermo,Отопление и водоснабжение/Радиаторы и полотенцесушители/Конвекторы внутрипольные без вентилятора,НС-1522686,RT-A-110/400/2100-DG-U-NA,55769.0,55769.0,37922.92,ожидается поставка,{}
